CodeProduit,CodeFamille,CodeSousFamille,CodeUnivers,DateCreationArticle
59585,1,3,2,2017-08-21 00:00:00
59589,1,5,2,2007-02-10 00:00:00
59590,1,5,2,2007-02-10 00:00:00
59591,1,5,2,2007-02-10 00:00:00
59592,1,5,2,2007-02-10 00:00:00
59598,2,16,2,2017-05-08 00:00:00
59601,60,91,1,2019-07-29 00:00:00
59739,11,51,3,2011-08-13 00:00:00
59745,50,71,1,2007-02-12 00:00:00
59747,55,81,1,2016-04-26 00:00:00
59749,55,80,1,2016-04-26 00:00:00
60020,2,16,2,2016-04-20 00:00:00
60024,3,19,2,2016-04-20 00:00:00
60031,3,19,2,2016-04-20 00:00:00
60055,3,19,2,2016-04-20 00:00:00
60076,1,8,2,2012-03-25 00:00:00
60077,1,8,2,2012-03-25 00:00:00
60078,1,8,2,2012-03-25 00:00:00
60079,1,8,2,2012-03-25 00:00:00
60080,1,8,2,2012-03-25 00:00:00
60081,4,24,2,2020-01-07 00:00:00
60082,4,22,2,2022-03-13 00:00:00
60295,1,9,2,2007-02-11 00:00:00
60297,1,9,2,2007-02-11 00:00:00
60323,1,6,2,2007-02-11 00:00:00
60325,1,1,2,2007-02-11 00:00:00
60326,1,1,2,2007-02-11 00:00:00
60535,1,3,2,2013-04-13 00:00:00
60542,7,30,3,2013-04-27 00:00:00
60543,7,31,3,2023-07-16 00:00:00
60544,7,32,3,2023-07-16 00:00:00
60547,8,44,3,2007-02-01 00:00:00
61008,7,29,3,2015-05-17 00:00:00
61233,50,71,1,2010-06-29 00:00:00
61340,7,31,3,2015-05-17 00:00:00
61354,7,1009,3,2011-06-04 00:00:00
61355,7,30,3,2007-02-12 00:00:00
61411,11,51,3,2011-06-18 00:00:00
61412,11,51,3,2011-06-18 00:00:00
61419,11,51,3,2011-06-18 00:00:00
61420,11,51,3,2011-06-18 00:00:00
61423,11,51,3,2011-06-18 00:00:00
61442,11,51,3,2011-06-18 00:00:00
61446,11,52,3,2011-06-18 00:00:00
61447,11,50,3,2011-06-18 00:00:00
61455,11,51,3,2012-04-10 00:00:00
61457,11,51,3,2012-04-10 00:00:00
61478,11,52,3,2012-04-10 00:00:00
61560,1,7,2,2007-02-12 00:00:00
61561,1,7,2,2007-02-12 00:00:00
62027,50,72,1,2007-05-28 00:00:00
62033,50,71,1,2007-05-28 00:00:00
62040,50,71,1,2007-05-28 00:00:00
62083,50,71,1,2012-11-06 00:00:00
62094,50,71,1,2015-11-01 00:00:00
62143,50,72,1,2016-11-13 00:00:00
62286,50,71,1,2014-09-03 00:00:00
62377,50,71,1,2017-12-02 00:00:00
62378,8,37,3,2015-04-07 00:00:00
62398,55,81,1,2007-02-02 00:00:00
62431,50,71,1,2015-05-18 00:00:00
62432,50,71,1,2015-05-18 00:00:00
62480,50,71,1,2013-10-13 00:00:00
62481,50,71,1,2013-10-13 00:00:00
62485,55,80,1,2013-10-13 00:00:00
62732,60,90,1,2014-08-18 00:00:00
62746,60,91,1,2007-02-13 00:00:00
62780,60,91,1,2014-01-22 00:00:00
62781,60,91,1,2014-01-22 00:00:00
62784,60,90,1,2014-01-22 00:00:00
62787,65,95,1,2014-01-22 00:00:00
62795,7,31,3,2015-04-08 00:00:00
62816,7,1009,3,2015-08-09 00:00:00
62828,80,127,1,2020-03-25 00:00:00
62831,80,127,1,2018-08-19 00:00:00
62929,2,16,2,2016-03-26 00:00:00
62944,2,16,2,2016-03-26 00:00:00
62951,50,72,1,2020-05-20 00:00:00
62952,50,72,1,2020-05-20 00:00:00
63074,50,72,1,2019-09-18 00:00:00
63263,70,111,1,2014-06-11 00:00:00
