CodeSousFamille,LabelSousFamille
1,"ANTI-CERNES "
2,"FOND DE TEINT FLUIDES "
3,"FOND DE TEINT COMPACTS"
4,"FOND DE TEINT STICKS"
5,"POUDRES COMPACTES "
6,"POUDRES LIBRES"
7,"POUDRES DE SOLEIL "
8,"PRODUITS TEINTES"
9,"BLUSH "
10,"AUTRES "
11,"MASCARAS "
12,"MASCARAS WATERPROOF"
13,"CRAYONS YEUX "
14,"CRAYONS SOURCILS "
15,"EYE-LINERS "
16,"OMBRES PAUPIERES "
17,"AUTRES "
18,"CRAYONS LEVRES "
19,"RAL"
20,"BRILLANTS LEVRES "
21,"AUTRES "
22,"VERNIS "
23,"DISSOLVANT "
24,"SOINS ONGLES "
25,"AUTRES "
26,"PINCEAUX MAQUILLAGE"
27,"COFFRETS MAQUILLAGES "
28,"DEMAQUILLANT "
29,"EXFOLIANT"
30,"MASQUE "
31,"HYDRATANT"
32,"ANTI-AGE "
33,"SERUMS/ZONES SPECIFIQUES "
34,"AUTRES "
35,"HYDRATANT"
36,"AMINCISSANT"
37,"EXFOLIANT"
38,"SPECIFIQUES MAINS"
39,"SPECIFIQUES CORPS"
40,"AUTRES "
41,"DOUCHES ET BAINS "
42,"DOUCHES ET BAINS FANTAISIES"
43,"EPILATION-DECOLORATION "
44,"DEODORANTS "
45,"AUTRES "
46,"SHAMPOING ET APRES SHAMPOING "
47,"TRAITEMENTS SPECIFIQUES"
48,"COLORAT DECORAT PERMANENTES"
49,"AUTRES "
50,"AUTO-BRONZANTS "
51,"PROTECTEURS PRE-BRONZANTS"
52,"APRES SOLEIL "
53,"AUTRES "
54,"NETTOYANTS "
55,"RASAGE "
56,"SOINS"
57,"CORPS ET CHEVEUX "
58,"AUTRES "
59,"CHEVEUX"
60,"TROUSSES "
61,"VAPORISATEURS + MIROIRS"
62,"MANUCURE,BLAIREAU"
63,"VISAGE & BAINS "
64,"AUTRES "
70,"EAU SANS ALCOOL"
71,"EAU DE TOILETTE"
72,"EAU DE PARFUM"
73,"EXTRAIT"
74,"EAU DE COLOGNE "
75,"SPECIFIQUES LEVRES "
76,"TONIFIANT"
77,"ANTI AGE RAFFERMISSANT "
78,"SPECIFIQUES ENFANTS"
80,"DEODORANT"
81,"PRODUITS CORPS "
82,"PRODUITS BAIN & DOUCHE "
83,"AUTRES "
